acid,eod_date,tran_date_bal,tran_date_tot_tran,value_date_bal,value_date_tot_tran,end_eod_date,lchg_user_id,lchg_time,rcre_user_id,rcre_time,ts_cnt,eab_crncy_code,bank_id,last_pstd_srl_num,last_tran_sequence_num,tran_count,updated_at,year,month,day
AC64478282,2024-02-18 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-19 00:00:00.0,FINADMIN,2024-02-19 18:54:18.0,FINADMIN,2024-02-18 23:49:54.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,18
AC86668804,2024-02-18 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-19 00:00:00.0,FINADMIN,2024-02-19 18:54:18.0,FINADMIN,2024-02-18 23:49:54.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,18
AC59267709,2024-02-18 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-19 00:00:00.0,FINADMIN,2024-02-19 18:54:17.0,FINADMIN,2024-02-18 23:49:54.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,18
AC62749524,2024-02-18 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-19 00:00:00.0,FINADMIN,2024-02-19 18:54:18.0,FINADMIN,2024-02-18 23:49:54.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,18
AC96918422,2024-02-18 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-19 00:00:00.0,FINADMIN,2024-02-19 18:54:18.0,FINADMIN,2024-02-18 23:49:54.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,18
AC91253205,2024-01-17 00:00:00.0,10000.0,10000.0,10000.0,10000.0,2024-01-17 00:00:00.0,FINADMIN,2024-01-19 04:21:31.0,FINADMIN,2024-01-18 07:21:19.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,1,17
AC40031707,2024-01-17 00:00:00.0,10000.0,10000.0,10000.0,10000.0,2024-01-17 00:00:00.0,FINADMIN,2024-01-19 04:21:31.0,FINADMIN,2024-01-18 07:21:19.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,1,17
AC72487872,2024-01-17 00:00:00.0,10000.0,10000.0,10000.0,10000.0,2024-01-17 00:00:00.0,FINADMIN,2024-01-19 04:21:31.0,FINADMIN,2024-01-18 07:21:19.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,1,17
AC38899787,2024-01-17 00:00:00.0,10000.0,10000.0,10000.0,10000.0,2024-01-17 00:00:00.0,FINADMIN,2024-01-19 04:21:31.0,FINADMIN,2024-01-18 07:21:19.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,1,17
AC39310635,2024-02-18 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-19 00:00:00.0,FINADMIN,2024-02-19 18:54:16.0,FINADMIN,2024-02-18 23:49:54.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,18
AC81615283,2024-01-25 00:00:00.0,10000.0,10000.0,10000.0,10000.0,2024-02-17 00:00:00.0,FINADMIN,2024-02-18 23:49:54.0,FINADMIN,2024-01-25 23:47:40.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,1,25
AC68949037,2024-02-18 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-19 00:00:00.0,FINADMIN,2024-02-19 18:54:16.0,FINADMIN,2024-02-18 23:49:54.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,18
