acid,ts_cnt,bank_id,del_flg,disb_ind,due_date,lchg_time,rcre_time,acct_status,delink_acid,health_code,notice_days,sticky_date,ecgc_dr_acid,ext_due_date,lchg_user_id,lm_link_stat,rcre_user_id,rpc_acct_flg,rt_sweep_flg,ecgc_appl_flg,entity_cre_flg,loss_carry_fwd,net_profit_rate,acct_status_date,prev_acct_status,last_aod_aos_date,last_lf_calc_date,lst_ecgc_cal_date,max_alwd_advn_lim,acct_crfile_ref_id,collection_officer,lf_chrg_pend_lines,total_project_cost,adj_for_closure_flg,acct_cls_reason_code,collect_excess_profit,internal_limit_upd_flg,unadj_profit_carry_fwd,wrk_capital_tenor_mths,adj_order_for_carry_fwd,next_dorm_chrg_calc_date,next_inact_chrg_calc_date,updated_at
AC89530543,2,1,N, ,,2022-01-08T01:55:20,2019-02-07T11:50:02,D,,NORMA,0.0,,,,FINADMIN, ,RP2286, , ,N,Y, ,0.0,2022-01-07T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2022-01-07T00:00:00.000000,,2024-08-07 06:42:03.096
AC80287890,6,1,N, ,,2022-01-17T23:40:55,2018-08-06T18:32:09,D,,NORMA,0.0,,,,FINADMIN, ,RS2979, , ,N,Y, ,0.0,2022-01-17T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2022-01-17T00:00:00.000000,,2024-08-07 06:42:03.096
AC28200830,2,1,N, ,,2022-01-30T21:09:51,2020-11-13T14:31:58,D,,NORMA,0.0,,,,FINADMIN, ,RM1929, , ,N,Y, ,0.0,2022-01-30T00:00:00.000000,A,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,2022-01-30T00:00:00.000000,,2024-08-07 06:42:03.096
AC18563744,4,1,N, ,,2022-05-05T22:49:06,2019-01-23T14:21:20,A,,NORMA,0.0,,,,MM1102, ,NM2158, , ,N,Y, ,0.0,2021-02-11T00:00:00.000000, ,,,,0.0,136608,,0,0.0, ,, ,, ,0.0, ,2019-09-09T00:00:00.000000,,2024-08-07 06:42:03.096
AC44942630,4,1,N, ,,2022-05-27T22:38:01,2019-09-26T10:03:39,A,,NORMA,0.0,,,,FIVUSR, ,SK2328, , ,N,Y, ,0.0,2019-09-26T00:00:00.000000, ,,,,0.0,CFOL-82026,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC34206717,7,1,N, ,,2022-05-27T23:55:34,2019-02-06T18:10:15,D,,NORMA,0.0,,,,FINADMIN, ,KP2255, , ,N,Y, ,0.0,2022-05-27T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2022-05-27T00:00:00.000000,,2024-08-07 06:42:03.096
AC36534967,2,1,N, ,,2022-07-08T23:31:42,2018-09-09T16:34:07,A,,NORMA,0.0,,,,FINADMIN, ,GT1905, , ,N,Y, ,0.0,2022-07-08T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC91546338,8,1,N, ,,2022-09-30T00:48:09,2019-02-07T11:59:03,D,,NORMA,0.0,,,,FINADMIN, ,RS2979, , ,N,Y, ,0.0,2022-09-29T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2022-09-29T00:00:00.000000,,2024-08-07 06:42:03.096
AC66737829,2,1,N, ,,2022-11-13T21:28:19,2013-06-26T17:42:42,A,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2023-09-27T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2022-11-13T00:00:00.000000,,2024-08-07 06:42:03.096
AC75504238,9,1,N, ,,2022-12-01T00:40:00.000000,2013-06-26T17:52:24,A,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2023-10-20T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2022-11-30T00:00:00.000000,,2024-08-07 06:42:03.096
AC78127812,7,1,N, ,,2022-12-05T01:00:09,2018-01-10T12:44:37,A,,NORMA,0.0,,,,FINADMIN, ,GT1905, , ,N,Y, ,0.0,2023-09-18T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2022-12-04T00:00:00.000000,,2024-08-07 06:42:03.096
AC84120237,4,1,N, ,,2022-12-16T04:16:25,2020-11-12T11:10:14,D,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2022-12-15T00:00:00.000000,A,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,2022-12-15T00:00:00.000000,,2024-08-07 06:42:03.096
AC35895359,3,1,N, ,,2023-03-01T22:49:27,2022-08-04T15:08:56,D,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2023-03-01T00:00:00.000000,A,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,2023-03-01T00:00:00.000000,,2024-08-07 06:42:03.096
AC38849843,5,1,N, ,,2023-04-10T23:42:01,2021-04-07T17:08:36,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2023-04-10T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC66527921,7,1,N, ,,2023-07-21T19:51:19,2021-01-21T15:26:30,D,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2023-07-21T00:00:00.000000,A,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,2023-07-21T00:00:00.000000,,2024-08-07 06:42:03.096
AC51731731,6,1,N, ,,2023-08-02T20:41:35,2021-03-10T16:16:52,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2023-08-01T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
